variant_name,node_id,canonical_name,full_graph_rank,stress_graph_rank,rank_delta,full_weighted_degree,stress_weighted_degree,degree_delta,full_betweenness,stress_betweenness,betweenness_delta
stress_context_graph,actor_dolabella,Dolabella,23,58,-35,6,3,-3.0,0.000508,0.001473,0.000965
stress_context_graph,actor_varro,Varro,113,59,54,2,2,0.0,0.000000,0.012387,0.012387
stress_context_graph,actor_philocles,Philocles,59,60,-1,3,2,-1.0,0.000044,0.000065,0.000020
stress_context_graph,actor_c_fufius,C. Fufius,62,61,1,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_heraclides,Heraclides,19,62,-43,3,1,-2.0,0.000044,0.000000,-0.000044
stress_context_graph,actor_m_fufius,M. Fufius,63,63,0,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_l_culleolus,L. Culleolus,97,64,33,2,2,0.0,0.000000,0.000065,0.000065
stress_context_graph,actor_servilius,Servilius,98,65,33,2,2,0.0,0.000000,0.000065,0.000065
stress_context_graph,actor_minucius_thermus,Minucius Thermus,100,66,34,2,2,0.0,0.000000,0.006129,0.006129
stress_context_graph,actor_m_anneius,M. Anneius,61,67,-6,3,2,-1.0,0.009816,0.015645,0.005829
stress_context_graph,actor_ateius_capito,Ateius Capito,106,68,38,2,2,0.0,0.000000,0.000108,0.000108
stress_context_graph,actor_appius_claudius,Appius Claudius,101,69,32,2,2,0.0,0.000000,0.000097,0.000097
stress_context_graph,actor_matinius,Matinius,102,70,32,2,2,0.0,0.000000,0.000097,0.000097
stress_context_graph,actor_scaptius,Scaptius,103,71,32,2,2,0.0,0.000000,0.000097,0.000097
stress_context_graph,actor_greek_provincial_communities,Greek provincial communities,68,72,-4,3,2,-1.0,0.005121,0.006129,0.001008
stress_context_graph,actor_l_lucceius,L. Lucceius,69,73,-4,3,2,-1.0,0.005121,0.006129,0.001008
stress_context_graph,actor_city_of_byllis,city of Byllis,71,74,-3,3,2,-1.0,0.005121,0.006129,0.001008
stress_context_graph,actor_publicani,publicani,70,75,-5,3,2,-1.0,0.005121,0.006129,0.001008
stress_context_graph,actor_appuleius,Appuleius,105,76,29,2,2,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_buthrotum,Buthrotum,77,77,0,3,2,-1.0,0.004995,0.005923,0.000928
stress_context_graph,actor_p_sallustius,P. Sallustius,80,78,2,3,2,-1.0,0.000066,0.000129,0.000063
stress_context_graph,actor_cn_sallustius,Cn. Sallustius,115,79,36,2,2,0.0,0.000000,0.004449,0.004449
stress_context_graph,actor_l_tullius_montanus,L. Tullius Montanus,82,80,2,3,2,-1.0,0.000118,0.000301,0.000183
stress_context_graph,actor_l_titius_strabo,L. Titius Strabo,78,81,-3,3,2,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_p_cornelius,P. Cornelius,79,82,-3,3,2,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_m_laenius,M. Laenius,117,83,34,2,2,0.0,0.000000,0.002923,0.002923
