variant_name,centrality_rank,node_id,canonical_name,weighted_degree,direct_edge_degree,context_edge_degree,component_size,pagerank,betweenness
stress_records_graph,119,actor_philargyrus,Philargyrus,2,1,1,104,0.0034010163356636737,0.0
stress_records_graph,120,actor_xeno,Xeno,2,0,2,104,0.0034010163356636737,0.0
stress_records_graph,121,actor_q_caecilius_dio,Q. Caecilius Dio,1,0,1,6,0.003307079624130691,0.0
stress_records_graph,122,actor_ser_sulpicius_galba,Ser. Sulpicius Galba,1,0,1,104,0.003219554704340118,0.0
stress_records_graph,123,actor_provincial_governor,provincial governor,1,0,1,104,0.0024795801100854827,0.0
stress_records_graph,124,actor_avianius,Avianius,1,1,0,104,0.002308607706766807,0.0
stress_records_graph,125,actor_caelius,Caelius,1,0,1,104,0.002308607706766807,0.0
stress_records_graph,126,actor_l_mescinius,L. Mescinius,1,0,1,104,0.002308607706766807,0.0
stress_records_graph,127,actor_p_magius_chilo,P. Magius Chilo,1,0,1,104,0.002308607706766807,0.0
stress_records_graph,128,actor_philogenes,Philogenes,1,1,0,104,0.002308607706766807,0.0
stress_records_graph,129,actor_scapula_estate,Scapula estate,1,1,0,104,0.002308607706766807,0.0
stress_records_graph,130,actor_titus_pomponius,Titus Pomponius,1,1,0,104,0.002308607706766807,0.0
stress_records_graph,131,actor_multiple_provincial_communities,multiple provincial communities,1,0,1,104,0.002308607706766807,0.0
stress_records_graph,132,actor_athens,Athens,1,1,0,104,0.002228772265260503,0.0
high_stress_graph,1,actor_cicero,Cicero,10,3,7,16,0.12274764359138554,0.25238095238095243
high_stress_graph,2,actor_atticus,Atticus,8,1,7,16,0.09610428174538754,0.15476190476190477
high_stress_graph,3,actor_quintus_cicero,Quintus Cicero,7,1,6,16,0.0838576821660693,0.10952380952380954
high_stress_graph,4,actor_egnatius,Egnatius,7,1,6,16,0.08385768216606929,0.10952380952380954
high_stress_graph,5,actor_heraclides,Heraclides,3,2,1,4,0.05367504835592038,0.002380952380952381
high_stress_graph,6,actor_hermippus,Hermippus,3,0,3,4,0.05367504835592038,0.002380952380952381
high_stress_graph,7,actor_l_tullius_montanus,L. Tullius Montanus,1,0,1,2,0.045454545454545456,0.0
high_stress_graph,8,actor_terentia,Terentia,1,0,1,2,0.045454545454545456,0.0
high_stress_graph,9,actor_oppius,Oppius,3,1,2,16,0.03955827269603428,0.0071428571428571435
high_stress_graph,10,actor_c_fufius,C. Fufius,2,1,1,4,0.03723404255317053,0.0
high_stress_graph,11,actor_m_fufius,M. Fufius,2,1,1,4,0.03723404255317053,0.0
high_stress_graph,12,actor_eros,Eros,2,0,2,16,0.030003011346933218,0.0
high_stress_graph,13,actor_hortensius,Hortensius,2,1,1,16,0.030003011346933218,0.0
high_stress_graph,14,actor_fulvia,Fulvia,2,1,1,16,0.029616107399132216,0.0
high_stress_graph,15,actor_marc_antony,Marc Antony,2,0,2,16,0.029616107399132216,0.0
high_stress_graph,16,actor_philotimus,Philotimus,2,0,2,16,0.028459908787854513,0.0
high_stress_graph,17,actor_dolabella,Dolabella,2,1,1,16,0.027462811461012863,0.0
high_stress_graph,18,actor_l_ligus,L. Ligus,2,0,2,16,0.027183618910563277,0.0
high_stress_graph,19,actor_pomponia,Pomponia,2,0,2,16,0.027183618910563277,0.0
high_stress_graph,20,actor_q_axius,Q. Axius,2,0,2,16,0.027183618910563277,0.0
high_stress_graph,21,actor_q_titinius,Q. Titinius,2,0,2,16,0.027183618910563277,0.0
high_stress_graph,22,actor_tiro,Tiro,1,0,1,16,0.01725173152453001,0.0
refinancing_graph,1,actor_cicero,Cicero,11,4,7,17,0.12598751550237142,0.24458874458874458
refinancing_graph,2,actor_atticus,Atticus,10,3,7,17,0.11457134874864106,0.20562770562770563
refinancing_graph,3,actor_egnatius,Egnatius,7,1,6,17,0.07962534187059768,0.10822510822510822
refinancing_graph,4,actor_quintus_cicero,Quintus Cicero,7,1,6,17,0.07962534187059768,0.10822510822510822
refinancing_graph,5,actor_heraclides,Heraclides,3,2,1,4,0.051341350601259717,0.0021645021645021645
refinancing_graph,6,actor_hermippus,Hermippus,3,0,3,4,0.051341350601259717,0.0021645021645021645
refinancing_graph,7,actor_l_tullius_montanus,L. Tullius Montanus,1,0,1,2,0.043478260869565216,0.0
refinancing_graph,8,actor_terentia,Terentia,1,0,1,2,0.043478260869565216,0.0
refinancing_graph,9,actor_oppius,Oppius,3,1,2,17,0.03740974291567625,0.008658008658008658
refinancing_graph,10,actor_c_fufius,C. Fufius,2,1,1,4,0.0356151711378707,0.0
refinancing_graph,11,actor_m_fufius,M. Fufius,2,1,1,4,0.0356151711378707,0.0
refinancing_graph,12,actor_fulvia,Fulvia,2,1,1,17,0.028278789172686197,0.0
refinancing_graph,13,actor_marc_antony,Marc Antony,2,0,2,17,0.028278789172686197,0.0
refinancing_graph,14,actor_eros,Eros,2,0,2,17,0.028273283575777297,0.0
refinancing_graph,15,actor_hortensius,Hortensius,2,1,1,17,0.028273283575777297,0.0
refinancing_graph,16,actor_philotimus,Philotimus,2,0,2,17,0.026856565215746725,0.0
refinancing_graph,17,actor_dolabella,Dolabella,2,1,1,17,0.025995702698608188,0.0
refinancing_graph,18,actor_l_ligus,L. Ligus,2,0,2,17,0.025859322158599943,0.0
refinancing_graph,19,actor_pomponia,Pomponia,2,0,2,17,0.025859322158599943,0.0
