dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p,selected_k,imputed_amount_hs,expected_contribution_hs
DYAD-5feee60fa8077aa0,ACT-AURELIUS,ACT-PUBLILIUS,surviving_candidate,2,financial_shared_neighbor,2,2,3276c251eb8759b93ceb2960374a7ee61192be37cd5a2f05e0e12e74af43246b,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0030-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.476497856039,5,362500,172730.472814137494
DYAD-b96742a6859ec15c,ACT-AURELIUS,ACT-SCRIBONIUS-LIBO,surviving_candidate,1,financial_shared_neighbor,1,1,9a301ad80b57547fb7622a52e18c5a0a535aec5e27aee971173518414179442e,OCC-FAM-PILOT-0004-LENDER-02,OCC-SEC-STAGED-0038-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.539814250494,5,362500,195682.66580407499
DYAD-69c289c83cce46bf,ACT-AURELIUS,ACT-SILIUS,surviving_candidate,2,financial_shared_neighbor,2,2,30e3efd531a36bfcd213cb84c0f58973043f5eca410182ad0e01d9507fec3328,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0011-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.476497856039,5,362500,172730.472814137494
DYAD-4a02464e6f8509e3,ACT-AURELIUS,ACT-TERENTIA,surviving_candidate,1,financial_shared_neighbor,1,1,25a02c91ec9e9ca37700d5b1fd99d60912e3e182f5abaaf55eb4f085588f9874,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0036-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675,5,362500,188031.934807187499
DYAD-b4d6cd5ffced7f44,ACT-CAERELLIA,ACT-CLUVIAN-COHEIRS,surviving_candidate,1,financial_shared_neighbor,1,1,b94d71e428281349438d2c7b39d41d3ae05ff9c07622eedcdb3471f8ee1b20aa,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0017-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-f0b76422b62cca04,ACT-CAERELLIA,ACT-COCCEIUS,surviving_candidate,1,financial_shared_neighbor,1,1,10bdf9224964ad088a161ae91d38f6c343760a016b37c5b2d37ebe3d8692700d,OCC-ATT-PILOT-0026-LENDER-01,OCC-SEC-STAGED-0053-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.512142613665,5,362500,185651.69745356252
DYAD-aa02b6a3cef3c908,ACT-CAERELLIA,ACT-CORNIFICIUS,surviving_candidate,1,financial_shared_neighbor,1,1,29428fede36b14fd36590a1785ee29608ab23ecb638df00e71419465c0e3f582,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0025-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.46689233105,5,362500,169248.470005624986
DYAD-7b080b154ef5e712,ACT-CAERELLIA,ACT-DOLABELLA,surviving_candidate,2,financial_shared_neighbor,2,2,ea6d3610a04cdf5593e0756ee355106252c51b9baa03503f3060dab476738042,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0028-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-b53add6ea57e2bd3,ACT-CAERELLIA,ACT-EROS,surviving_candidate,1,financial_shared_neighbor,1,1,67989521595182dc8a6faa011e1d7122a567fe7a0d6bf4a2378053fa536270c3,OCC-ATT-PILOT-0026-LENDER-01,OCC-ATT-PILOT-0029-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.526349561993,5,362500,190801.716222462506
DYAD-7a667fdaebb37786,ACT-CAERELLIA,ACT-FLAMMA,surviving_candidate,2,financial_shared_neighbor,2,2,09a434fb322df378eb7e36b6eb37da837610936f19020a47db1709e7c2b3d422,OCC-ATT-PILOT-0026-LENDER-01,OCC-FAM-PILOT-0005-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
