dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p
DYAD-c86dd56ca5e30efe,ACT-ATTICUS,ACT-TERENTIA,already_observed,5,financial_shared_neighbor;within_component,5,5,0ec0ed41046134b1711184ec3206ecad77e85c6390ac19fea8ec2f92e10f0617,OCC-ATT-PILOT-0036-THIRD_PARTY-01,OCC-ATT-PILOT-0036-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-75acc024b163c65b,ACT-ATTICUS,ACT-TIRO,surviving_candidate,16,financial_shared_neighbor,16,16,16c3e77ae5856a1217ece7ca94de3e00b4a526c88063f12be9a549f3312c9cbe,OCC-SEC-STAGED-0076-THIRD_PARTY-01,OCC-FAM-PILOT-0004-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.300269177942
DYAD-f49cb4920108b62d,ACT-ATTICUS,ACT-TULLIUS-MONTANUS,unauthorized_candidate_basis,1,financial_shared_neighbor,0,0,,,,,,,,0
DYAD-0f6a9d0174c5e2dc,ACT-ATTICUS,ACT-VARRO,unauthorized_candidate_basis,4,financial_shared_neighbor,0,0,,,,,,,,0
DYAD-57acedab0eb54726,ACT-ATTICUS,PLH-02dd7626e090cce8,placeholder_endpoint,4,financial_shared_neighbor,4,0,,,,,,,,0
DYAD-9008a69c4604e54b,ACT-ATTICUS,PLH-3867621eca95f356,placeholder_endpoint,5,financial_shared_neighbor;within_component,5,0,,,,,,,,0
DYAD-192338a1633e8779,ACT-ATTICUS,PLH-b0c742e0f412ff74,placeholder_endpoint,1,financial_shared_neighbor,0,0,,,,,,,,0
DYAD-45d4e02d2c913c20,ACT-ATTICUS,PLH-de958647944ebc7a,placeholder_endpoint,4,financial_shared_neighbor,4,0,,,,,,,,0
DYAD-6ee113976beb4ed0,ACT-ATTICUS,PLH-e6ace6b73e88d8db,placeholder_endpoint,6,financial_shared_neighbor;within_component,1,0,,,,,,,,0
DYAD-64d5ea81d6b977df,ACT-AURELIUS,ACT-CAERELLIA,surviving_candidate,2,financial_shared_neighbor,2,2,6beb393e855915b263a08ab4ef45f5ced71583a037fe339d5399e5b4c740c254,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0026-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622
DYAD-a878884583b72cb1,ACT-AURELIUS,ACT-CICERO,already_observed,5,financial_shared_neighbor;within_component,5,5,0b329128c98958b1abc281a5d587480744928d200a6338e90007128ef3d1e344,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0014-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-7ce3d118c9e15884,ACT-AURELIUS,ACT-CLUVIAN-COHEIRS,surviving_candidate,1,financial_shared_neighbor,1,1,76d938e59b712dbee7b07d4f41d831731191adb42c8148d6e01e579b1a9399b6,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0017-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675
DYAD-0bac861dd1e4d681,ACT-AURELIUS,ACT-COCCEIUS,surviving_candidate,1,financial_shared_neighbor,1,1,86b0def05a4fbb42f5ff3bfd11983ea0183ac0773f5541f9596e39f6b847af20,OCC-FAM-PILOT-0004-LENDER-02,OCC-SEC-STAGED-0053-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.539814250494
DYAD-dd21f959cd33000f,ACT-AURELIUS,ACT-CORNIFICIUS,surviving_candidate,1,financial_shared_neighbor,1,1,2c8f2d5796a9a2c98396323449772519ab95c908784391b9bba0ee0b2f3b9eb0,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0025-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622
