dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,edge_probability_p
DYAD-a21f067cb93e641d,ACT-METON,ACT-SCRIBONIUS-LIBO,0.577362322003
DYAD-f18ba811a22bae71,ACT-METON,ACT-SILIUS,0.509641804269
DYAD-de405f1485826320,ACT-METON,ACT-TERENTIA,0.554788816091
DYAD-2c2ac91de93bfec8,ACT-METON,ACT-TIRO,0.414173632831
DYAD-4c8f30ccd2780934,ACT-OFILLIUS,ACT-PATULCIUS,0.518708785675
DYAD-6d4cf5a37b94f229,ACT-OFILLIUS,ACT-PUBLILIUS,0.476497856039
DYAD-d719d83807995e44,ACT-OFILLIUS,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-3885d54908b8ee64,ACT-OFILLIUS,ACT-SILIUS,0.476497856039
DYAD-fd748bcde50fbf4f,ACT-OFILLIUS,ACT-TERENTIA,0.518708785675
DYAD-e8731d5d6ca8dfec,ACT-PATULCIUS,ACT-PUBLILIUS,0.476497856039
DYAD-d91ee378cb5bd16b,ACT-PATULCIUS,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-19b5d1017b8cc6c8,ACT-PATULCIUS,ACT-SILIUS,0.476497856039
DYAD-8716f1ef435870a9,ACT-PATULCIUS,ACT-TERENTIA,0.518708785675
DYAD-dce642d3efb925de,ACT-PATULCIUS,ACT-TIRO,0.387238343516
DYAD-18bf53d100eb48d1,ACT-PUBLILIUS,ACT-SCRIBONIUS-LIBO,0.49588582288
DYAD-ff9a98fea3716c96,ACT-PUBLILIUS,ACT-SILIUS,0.437721922358
DYAD-98c9dffbf994c29b,ACT-PUBLILIUS,ACT-TERENTIA,0.476497856039
DYAD-ad667a761f1cf75d,ACT-PUBLILIUS,ACT-TIRO,0.355726075126
DYAD-352478e03ee7e5ab,ACT-SCRIBONIUS-LIBO,ACT-SILIUS,0.49588582288
DYAD-bed85f483f9f82c0,ACT-SCRIBONIUS-LIBO,ACT-TERENTIA,0.539814250494
DYAD-655e64e7ae38d3e2,ACT-SCRIBONIUS-LIBO,ACT-TIRO,0.402994477712
DYAD-8af8eca8a3ba99a7,ACT-SILIUS,ACT-TERENTIA,0.476497856039
DYAD-031c770f91992f59,ACT-SILIUS,ACT-TIRO,0.355726075126
DYAD-d2203d87c15f4bcc,ACT-TERENTIA,ACT-TIRO,0.387238343516
