stable_actor_id,D,node_class,class_method,lower_cutpoint,upper_cutpoint,u_visibility_fingerprint,max_h_visibility,authorization
ACT-DOLABELLA,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-EROS,0.229689361795,low,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-FABERIUS,0.338394435968,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-FLAMINIUS,0.229689361795,low,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-FLAMMA,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-HERMOGENES,0.229689361795,low,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-HORTENSIUS,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-IUNIUS,0.316704799483,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-METON,0.229689361795,low,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-OFILLIUS,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-PATULCIUS,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-PLANCUS,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-PUBLILIUS,0.338394435968,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-SCRIBONIUS-LIBO,0.250481178154,medium,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-SILIUS,0.338394435968,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-TERENTIA,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
