record_id,exposure_group_id,paper_action,paper_edited
ATT-PILOT-0027,EG-CLEAN-0035,regenerate_after_post_calculation_audit,no
ATT-PILOT-0028,EG-CLEAN-0030,regenerate_after_post_calculation_audit,no
ATT-PILOT-0029,EG-CLEAN-0014,regenerate_after_post_calculation_audit,no
ATT-PILOT-0030,O5EG-0015,regenerate_after_post_calculation_audit,no
FAM-PILOT-0001,EG-CLEAN-0070,regenerate_after_post_calculation_audit,no
FAM-PILOT-0002,EG-CLEAN-0004,regenerate_after_post_calculation_audit,no
FAM-PILOT-0003,EG-CLEAN-0033,regenerate_after_post_calculation_audit,no
FAM-PILOT-0004,EG-CLEAN-0036,regenerate_after_post_calculation_audit,no
FAM-PILOT-0005,EG-CLEAN-0031,regenerate_after_post_calculation_audit,no
QFR-PILOT-0001,EG-CLEAN-0095,regenerate_after_post_calculation_audit,no
QFR-PILOT-0002,EG-CLEAN-0096,regenerate_after_post_calculation_audit,no
ATT-PILOT-0031,EG-CLEAN-0088,regenerate_after_post_calculation_audit,no
ATT-PILOT-0032,EG-CLEAN-0087,regenerate_after_post_calculation_audit,no
ATT-PILOT-0033,EG-CLEAN-0086,regenerate_after_post_calculation_audit,no
ATT-PILOT-0034,EG-CLEAN-0023,regenerate_after_post_calculation_audit,no
ATT-PILOT-0035,O5EG-0015,regenerate_after_post_calculation_audit,no
ATT-PILOT-0036,EG-CLEAN-0022,regenerate_after_post_calculation_audit,no
ATT-PILOT-0037,EG-CLEAN-0029,regenerate_after_post_calculation_audit,no
FAM-PILOT-0006,EG-CLEAN-0003,regenerate_after_post_calculation_audit,no
VRB-STAGED-0002,EG-CLEAN-0063,regenerate_after_post_calculation_audit,no
VRB-STAGED-0006,EG-CLEAN-0062,regenerate_after_post_calculation_audit,no
VRB-STAGED-0008,EG-CLEAN-0107,regenerate_after_post_calculation_audit,no
VRB-STAGED-0009,EG-CLEAN-0059,regenerate_after_post_calculation_audit,no
VRB-STAGED-0010,EG-CLEAN-0039,regenerate_after_post_calculation_audit,no
VRB-STAGED-0011,EG-CLEAN-0111,regenerate_after_post_calculation_audit,no
VRB-STAGED-0012,EG-CLEAN-0069,regenerate_after_post_calculation_audit,no
VRB-STAGED-0013,EG-CLEAN-0080,regenerate_after_post_calculation_audit,no
VRB-STAGED-0015,EG-CLEAN-0055,regenerate_after_post_calculation_audit,no
VRB-STAGED-0018,EG-CLEAN-0089,regenerate_after_post_calculation_audit,no
VRB-STAGED-0019,EG-CLEAN-0078,regenerate_after_post_calculation_audit,no
VRB-STAGED-0020,EG-CLEAN-0099,regenerate_after_post_calculation_audit,no
VRB-STAGED-0025,EG-CLEAN-0052,regenerate_after_post_calculation_audit,no
VRB-STAGED-0027,,regenerate_after_post_calculation_audit,no
VRB-STAGED-0030,EG-CLEAN-0019,regenerate_after_post_calculation_audit,no
VRB-STAGED-0032,EG-CLEAN-0084,regenerate_after_post_calculation_audit,no
VRB-STAGED-0036,EG-CLEAN-0037,regenerate_after_post_calculation_audit,no
VRB-STAGED-0038,EG-CLEAN-0047,regenerate_after_post_calculation_audit,no
VRB-STAGED-0040,EG-CLEAN-0075,regenerate_after_post_calculation_audit,no
VRB-STAGED-0042,EG-CLEAN-0041,regenerate_after_post_calculation_audit,no
