k,held_out_exposure_group_id,target_hs,training_n,prediction_hs,absolute_natural_log_error
33,EG-CLEAN-0118,25000,2,394285.714285714261,2.758199984788
33,O5EG-0015,400000,2,394285.714285714261,0.014388737452
34,EG-CLEAN-0025,200000,2,394444.444444444438,0.679160938585
34,EG-CLEAN-0118,25000,2,394444.444444444438,2.758602480265
34,O5EG-0015,400000,2,394444.444444444438,0.013986241975
35,EG-CLEAN-0025,200000,2,394594.594594594615,0.679541528504
35,EG-CLEAN-0118,25000,2,394594.594594594615,2.758983070184
35,O5EG-0015,400000,2,394594.594594594615,0.013605652056
36,EG-CLEAN-0025,200000,2,394736.842105263146,0.67990195381
36,EG-CLEAN-0118,25000,2,394736.842105263146,2.75934349549
36,O5EG-0015,400000,2,394736.842105263146,0.01324522675
37,EG-CLEAN-0025,200000,2,394871.794871794875,0.680243775724
37,EG-CLEAN-0118,25000,2,394871.794871794875,2.759685317404
37,O5EG-0015,400000,2,394871.794871794875,0.012903404836
38,EG-CLEAN-0025,200000,2,395000,0.680568398353
38,EG-CLEAN-0118,25000,2,395000,2.760009940033
38,O5EG-0015,400000,2,395000,0.012578782207
39,EG-CLEAN-0025,200000,2,395121.951219512208,0.680877087968
39,EG-CLEAN-0118,25000,2,395121.951219512208,2.760318629648
39,O5EG-0015,400000,2,395121.951219512208,0.012270092592
40,EG-CLEAN-0025,200000,2,395238.095238095266,0.681170989513
40,EG-CLEAN-0118,25000,2,395238.095238095266,2.760612531193
40,O5EG-0015,400000,2,395238.095238095266,0.011976191047
41,EG-CLEAN-0025,200000,2,395348.83720930235,0.681451140797
41,EG-CLEAN-0118,25000,2,395348.83720930235,2.760892682477
41,O5EG-0015,400000,2,395348.83720930235,0.011696039763
42,EG-CLEAN-0025,200000,2,395454.54545454547,0.681718484736
42,EG-CLEAN-0118,25000,2,395454.54545454547,2.761160026416
42,O5EG-0015,400000,2,395454.54545454547,0.011428695824
43,EG-CLEAN-0025,200000,2,395555.555555555562,0.681973879962
43,EG-CLEAN-0118,25000,2,395555.555555555562,2.761415421642
43,O5EG-0015,400000,2,395555.555555555562,0.011173300598
44,EG-CLEAN-0025,200000,2,395652.173913043458,0.682218110028
44,EG-CLEAN-0118,25000,2,395652.173913043458,2.761659651708
44,O5EG-0015,400000,2,395652.173913043458,0.010929070532
45,EG-CLEAN-0025,200000,2,395744.680851063807,0.682451891443
45,EG-CLEAN-0118,25000,2,395744.680851063807,2.761893433123
45,O5EG-0015,400000,2,395744.680851063807,0.010695289117
46,EG-CLEAN-0025,200000,2,395833.333333333314,0.682675880693
46,EG-CLEAN-0118,25000,2,395833.333333333314,2.762117422372
46,O5EG-0015,400000,2,395833.333333333314,0.010471299867
47,EG-CLEAN-0025,200000,2,395918.367346938758,0.682890680393
47,EG-CLEAN-0118,25000,2,395918.367346938758,2.762332222073
47,O5EG-0015,400000,2,395918.367346938758,0.010256500167
48,EG-CLEAN-0025,200000,2,396000,0.683096844706
48,EG-CLEAN-0118,25000,2,396000,2.762538386386
48,O5EG-0015,400000,2,396000,0.010050335854
49,EG-CLEAN-0025,200000,2,396078.431372549036,0.683294884117
49,EG-CLEAN-0118,25000,2,396078.431372549036,2.762736425797
49,O5EG-0015,400000,2,396078.431372549036,0.009852296443
50,EG-CLEAN-0025,200000,2,396153.846153846127,0.683485269648
50,EG-CLEAN-0118,25000,2,396153.846153846127,2.762926811328
50,O5EG-0015,400000,2,396153.846153846127,0.009661910912
