variant_name,actor_type,node_count,total_weighted_degree,mean_weighted_degree,total_component_size,mean_component_size,total_pagerank,mean_pagerank,total_betweenness,mean_betweenness,top_nodes_by_pagerank,top_nodes_by_betweenness
letters_only_graph,individual,82,396.000000,4.829268,8696.000000,106.048780,0.755732,0.009216,1.179579,0.014385,Cicero (0.1061); L. Titius Strabo (0.03219); Brutus (0.02778); Plancus (0.02113); Atticus (0.01961),Cicero (0.8542); Caecilius (0.08237); Brutus (0.0591); Atticus (0.0366); Pompey (0.0339)
letters_only_graph,professional_financier,5,14.000000,2.800000,550.000000,110.000000,0.043845,0.008769,0.083202,0.016640,Cluvius (0.02393); C. Vestorius (0.005597); Selicius (0.005597); Matinius (0.004361); Scaptius (0.004361),Cluvius (0.0832); C. Vestorius (0); Selicius (0); Matinius (0); Scaptius (0)
letters_only_graph,public_body,2,3.000000,1.500000,220.000000,110.000000,0.008722,0.004361,0.000000,0.000000,Senate (0.004361); provincial governor (0.004361),Senate (0); provincial governor (0)
monetary_subgraph,family_or_household,2,8.000000,4.000000,18.000000,9.000000,0.130240,0.065120,0.139706,0.069853,Quintus Cicero (0.1012); Terentia (0.02903),Quintus Cicero (0.1397); Terentia (0)
monetary_subgraph,freedman_or_agent,1,1.000000,1.000000,14.000000,14.000000,0.029029,0.029029,0.000000,0.000000,Tiro (0.02903),Tiro (0)
monetary_subgraph,individual,15,45.000000,3.000000,180.000000,12.000000,0.840727,0.056048,0.551471,0.036765,Egnatius (0.1872); Cicero (0.09802); Plancus (0.0975); L. Tullius Montanus (0.06604); Faberius (0.05392),Cicero (0.3713); Egnatius (0.1397); Q. Axius (0.02206); L. Tullius Montanus (0.01471); Hermogenes (0.003676)
third_party_context_graph,civic_body,10,17.000000,1.700000,980.000000,98.000000,0.078343,0.007834,0.032600,0.003260,Salamis (0.01288); Greek provincial communities (0.008761); city of Byllis (0.008761); Nicaea (0.008464); cities in Asia (0.006901),Salamis (0.01742); Greek provincial communities (0.006129); city of Byllis (0.006129); Nicaea (0.002923); cities in Asia (0)
third_party_context_graph,collective_group,11,19.000000,1.727273,702.000000,63.818182,0.080486,0.007317,0.024817,0.002256,amici (0.01552); Brutus Albinus friends (0.008959); publicani (0.008761); Sicilian tax company (0.007244); borrowers under Verres' scheme (0.007244),procuratores (0.01239); publicani (0.006129); Cluvius procurators (0.006129); Sicilian tax company (8.6e-05); borrowers under Verres' scheme (8.6e-05)
third_party_context_graph,family_or_household,3,27.000000,9.000000,294.000000,98.000000,0.049160,0.016387,0.107876,0.035959,Quintus Cicero (0.03769); Terentia (0.006623); Tullia (0.004843),Quintus Cicero (0.08512); Terentia (0.01965); Tullia (0.003108)
third_party_context_graph,freedman_or_agent,3,23.000000,7.666667,294.000000,98.000000,0.021181,0.007060,0.065138,0.021713,Tiro (0.009715); Philotimus (0.006623); Eros (0.004843),Tiro (0.03681); Eros (0.02775); Philotimus (0.000574)
third_party_context_graph,individual,92,309.000000,3.358696,6953.000000,75.576087,0.725741,0.007888,0.902798,0.009813,Cicero (0.08099); Iunius (0.01621); Caerellia (0.01512); Brutus (0.01494); Atticus (0.01489),Cicero (0.4704); Atticus (0.1524); Brutus (0.04277); Marc Antony (0.03664); Egnatius (0.03018)
third_party_context_graph,professional_financier,3,10.000000,3.333333,294.000000,98.000000,0.023658,0.007886,0.060388,0.020129,Cluvius (0.01397); Matinius (0.004843); Scaptius (0.004843),Cluvius (0.06019); Matinius (9.7e-05); Scaptius (9.7e-05)
third_party_context_graph,public_body,4,7.000000,1.750000,205.000000,51.250000,0.021430,0.005358,0.012581,0.003145,Roman state (0.006901); Senate (0.004843); Roman state grain funds (0.004843); provincial governor (0.004843),Senate (0.01239); Roman state grain funds (0.000194); Roman state (0); provincial governor (0)
