variant_name,node_id,canonical_name,actor_type,weighted_degree,pagerank,betweenness,direct_record_count,third_party_record_count,review_flags
ciceronian_period_cicero_removed_graph,actor_brutus_albinus,Brutus Albinus,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_cn_sallustius,Cn. Sallustius,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_meton,Meton,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_ser_sulpicius_galba,Ser. Sulpicius Galba,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_varro,Varro,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_xeno,Xeno,individual,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_cicero_removed_graph,actor_provincial_governor,provincial governor,public_body,1.000000,0.004243,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_quintus_cicero,Quintus Cicero,family_or_household,22.000000,0.026162,0.023702,7,2,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_atticus,Atticus,individual,45.000000,0.025561,0.063975,8,18,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_cluvius,Cluvius,professional_financier,8.000000,0.019521,0.055796,4,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_publicani,publicani,collective_group,3.000000,0.011182,0.005663,1,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_amici,amici,collective_group,3.000000,0.010001,0.011425,2,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_salamis,Salamis,civic_body,5.000000,0.009015,0.016251,1,0,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_faberius,Faberius,individual,6.000000,0.005549,0.000246,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_terentia,Terentia,family_or_household,7.000000,0.005449,0.005033,2,3,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_philotimus,Philotimus,freedman_or_agent,6.000000,0.005449,0.000230,2,1,unexpected_actor_type_high_centrality
ciceronian_period_graph,actor_q_axius,Q. Axius,individual,5.000000,0.004559,0.000246,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_camillus,Camillus,individual,4.000000,0.004422,0.000053,1,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_tiro,Tiro,freedman_or_agent,11.000000,0.004196,0.005837,2,5,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_eros,Eros,freedman_or_agent,8.000000,0.003495,0.000673,0,4,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_q_paconius_lepta,Q. Paconius Lepta,individual,2.000000,0.003495,0.000525,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_verres,Verres,individual,4.000000,0.003495,0.000427,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_hermippus,Hermippus,individual,3.000000,0.003495,0.000049,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_hermogenes,Hermogenes,individual,3.000000,0.003495,0.000049,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_roman_state_grain_funds,Roman state grain funds,public_body,3.000000,0.003495,0.000033,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_lucullus,L. Lucullus,individual,3.000000,0.003495,0.000025,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_pontius,L. Pontius,individual,3.000000,0.003495,0.000025,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_p_scipio,P. Scipio,individual,3.000000,0.003495,0.000025,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_tullia,Tullia,family_or_household,5.000000,0.003495,0.000000,0,3,unexpected_actor_type_high_centrality; third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_balbus,Balbus,individual,4.000000,0.003495,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_cluvius_procurators,Cluvius procurators,collective_group,3.000000,0.003495,0.000000,0,2,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_appius_claudius,Appius Claudius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_appuleius,Appuleius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_ateius_capito,Ateius Capito,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_cn_sallustius,Cn. Sallustius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_d_iunius_brutus,D. Iunius Brutus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_culleolus,L. Culleolus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_l_ligus,L. Ligus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_matinius,Matinius,professional_financier,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_meton,Meton,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_minucius_thermus,Minucius Thermus,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_pomponia,Pomponia,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_q_titinius,Q. Titinius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_scaptius,Scaptius,professional_financier,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_senate,Senate,public_body,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_servilius,Servilius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_sex_naevius,Sex. Naevius,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_varro,Varro,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_xeno,Xeno,individual,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_procuratores,procuratores,collective_group,2.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_brutus_albinus,Brutus Albinus,individual,1.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_ser_sulpicius_galba,Ser. Sulpicius Galba,individual,1.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
ciceronian_period_graph,actor_provincial_governor,provincial governor,public_body,1.000000,0.003495,0.000000,0,1,third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_quintus_cicero,Quintus Cicero,family_or_household,22.000000,0.026202,0.021426,7,2,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_atticus,Atticus,individual,45.000000,0.024496,0.057619,8,18,third_party_prominence_exceeds_direct_party_count
combined_transaction_graph,actor_cluvius,Cluvius,professional_financier,8.000000,0.018360,0.050464,4,0,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_publicani,publicani,collective_group,3.000000,0.010552,0.005121,1,0,unexpected_actor_type_high_centrality
combined_transaction_graph,actor_amici,amici,collective_group,3.000000,0.009572,0.010331,2,0,unexpected_actor_type_high_centrality
