actor_type,mechanism_type,analysis_loan_type,scope_type,edge_count,direct_edge_count,third_party_context_edge_count,actor_count,record_count,top_actors,date_periods,confidence_values
individual,surety,ambiguous financial obligation,public,4,0,4,3,1,P. Valerius (2); M. Anneius (1); Q. Paconius Lepta (1),ciceronian_period,medium
individual,surety,surety/guarantee,public,2,0,2,2,1,Cicero (1); L. Mescinius (1),ciceronian_period,medium
individual,surety,ambiguous financial obligation,ambiguous,2,2,0,2,1,Cicero (1); Titus Pomponius (1),ciceronian_period,low
individual,surety,credit arrangement,comparative,2,0,2,2,1,P. Sulla (1); P. Sittius (1),ciceronian_period,medium
individual,surety,ambiguous financial obligation,household,2,0,2,1,1,Cicero (2),ciceronian_period,low
professional_financier,account/nomina,account/nomina claim,public,4,0,4,2,1,Matinius (2); Scaptius (2),ciceronian_period,high
professional_financier,ambiguous,ambiguous financial obligation,civic,1,1,0,1,1,C. Vestorius (1),ciceronian_period,low
professional_financier,ambiguous,credit arrangement,private,1,1,0,1,1,Selicius (1),ciceronian_period,medium
professional_financier,recommendation,debt repayment,public,2,0,2,1,1,Cluvius (2),ciceronian_period,high
professional_financier,recommendation,ambiguous financial obligation,public,1,0,1,1,1,Cluvius (1),ciceronian_period,medium
professional_financier,repayment pressure,debt repayment,public,5,2,3,1,2,Cluvius (5),ciceronian_period,high
public_body,account/nomina,account/nomina claim,civic,1,0,1,1,1,provincial governor (1),ciceronian_period,medium
public_body,political/civic finance,personal loan,comparative,3,0,3,1,1,Roman state grain funds (3),ciceronian_period,high
public_body,political/civic finance,credit arrangement,public,2,0,2,1,1,Senate (2),ciceronian_period,high
public_body,surety,surety/guarantee,comparative,2,1,1,1,1,Roman state (2),ciceronian_period,high
