variant_name,metric,metric_rank,node_id,canonical_name,actor_type,value,centrality_rank,direct_record_count,third_party_record_count
ciceronian_period_graph,betweenness,20,actor_l_lucceius,L. Lucceius,individual,0.005663,16,1,0
combined_transaction_graph,weighted_degree,1,actor_cicero,Cicero,individual,129.000000,1,49,22
combined_transaction_graph,weighted_degree,2,actor_atticus,Atticus,individual,45.000000,4,8,18
combined_transaction_graph,weighted_degree,3,actor_quintus_cicero,Quintus Cicero,family_or_household,22.000000,2,7,2
combined_transaction_graph,weighted_degree,4,actor_tiro,Tiro,freedman_or_agent,13.000000,26,2,5
combined_transaction_graph,weighted_degree,5,actor_brutus,Brutus,individual,9.000000,5,2,1
combined_transaction_graph,weighted_degree,6,actor_egnatius,Egnatius,individual,9.000000,11,1,1
combined_transaction_graph,weighted_degree,7,actor_cluvius,Cluvius,professional_financier,8.000000,6,4,0
combined_transaction_graph,weighted_degree,8,actor_eros,Eros,freedman_or_agent,8.000000,107,0,4
combined_transaction_graph,weighted_degree,9,actor_terentia,Terentia,family_or_household,7.000000,68,2,3
combined_transaction_graph,weighted_degree,10,actor_caesar,Caesar,individual,6.000000,8,6,1
combined_transaction_graph,weighted_degree,11,actor_caerellia,Caerellia,individual,6.000000,13,2,0
combined_transaction_graph,weighted_degree,12,actor_caecilius,Caecilius,individual,6.000000,33,2,0
combined_transaction_graph,weighted_degree,13,actor_dolabella,Dolabella,individual,6.000000,37,3,0
combined_transaction_graph,weighted_degree,14,actor_silius,Silius,individual,6.000000,41,2,2
combined_transaction_graph,weighted_degree,15,actor_faberius,Faberius,individual,6.000000,67,1,2
combined_transaction_graph,weighted_degree,16,actor_philotimus,Philotimus,freedman_or_agent,6.000000,69,2,1
combined_transaction_graph,weighted_degree,17,actor_plancus,Plancus,individual,5.000000,7,2,0
combined_transaction_graph,weighted_degree,18,actor_pompey,Pompey,individual,5.000000,9,3,1
combined_transaction_graph,weighted_degree,19,actor_salamis,Salamis,civic_body,5.000000,24,1,0
combined_transaction_graph,weighted_degree,20,actor_oppius,Oppius,individual,5.000000,44,1,1
combined_transaction_graph,component_size,1,actor_cicero,Cicero,individual,119.000000,1,49,22
combined_transaction_graph,component_size,2,actor_quintus_cicero,Quintus Cicero,family_or_household,119.000000,2,7,2
combined_transaction_graph,component_size,3,actor_l_titius_strabo,L. Titius Strabo,individual,119.000000,3,1,0
combined_transaction_graph,component_size,4,actor_atticus,Atticus,individual,119.000000,4,8,18
combined_transaction_graph,component_size,5,actor_brutus,Brutus,individual,119.000000,5,2,1
combined_transaction_graph,component_size,6,actor_cluvius,Cluvius,professional_financier,119.000000,6,4,0
combined_transaction_graph,component_size,7,actor_plancus,Plancus,individual,119.000000,7,2,0
combined_transaction_graph,component_size,8,actor_caesar,Caesar,individual,119.000000,8,6,1
